hospital_id,has_ct_static,has_xray_static,has_neurosurgery_department,has_orthopedics_department,has_general_surgery_department,has_trauma_surgery_department,has_emergency_medicine_department,has_or_static,has_icu_static,has_neuro_icu_static,has_trauma_icu_static,capability_source,capability_confidence,capability_notes
A1100002,true,true,false,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100039,false,true,false,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100001,true,true,false,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100014,true,true,true,true,true,true,true,true,true,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100026,false,true,false,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100052,true,true,false,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1122033,false,true,false,false,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true. Surgical capability explicitly mentioned.
A1126226,false,true,false,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,low,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100048,true,true,false,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100044,false,true,false,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100037,false,true,false,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true. Orthopedic capability explicitly mentioned. Surgical capability explicitly mentioned.
A1123234,false,true,false,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,low,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100024,false,true,true,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true. Neurosurgery/neuro capability explicitly mentioned.
A1100046,false,true,false,false,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true. Surgical capability explicitly mentioned.
A1100036,false,true,false,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100148,false,true,false,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,low,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100010,true,true,false,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100021,true,true,false,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100017,true,true,true,true,true,true,true,true,true,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1107402,false,true,false,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,low,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100050,false,true,false,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100029,false,true,false,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100022,false,true,false,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100040,true,true,false,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100223,false,true,false,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100035,true,true,true,true,true,true,true,true,true,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100172,true,true,true,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT explicitly mentioned. Neurosurgery/neuro capability explicitly mentioned. Orthopedic capability explicitly mentioned. Surgical capability explicitly mentioned.
A1100028,true,true,false,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100054,true,true,true,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true. Neurosurgery/neuro capability explicitly mentioned. Orthopedic capability explicitly mentioned.
A1100032,false,true,false,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100004,true,true,false,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100063,false,true,false,false,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true. Surgical capability explicitly mentioned.
A1100045,false,true,false,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true. Orthopedic capability explicitly mentioned. Surgical capability explicitly mentioned.
A1100015,true,true,false,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100007,true,true,false,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1120432,false,true,true,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true. Neurosurgery/neuro capability explicitly mentioned. Orthopedic capability explicitly mentioned. Surgical capability explicitly mentioned.
A1100042,false,true,true,true,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true. Neurosurgery/neuro capability explicitly mentioned. Orthopedic capability explicitly mentioned.
A1100152,false,true,false,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,low,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100025,false,true,false,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100041,true,true,false,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100030,false,true,false,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,low,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100255,false,true,false,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,low,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100023,false,true,true,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true. Neurosurgery/neuro capability explicitly mentioned.
A1100075,false,true,false,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100020,true,true,false,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100005,true,true,true,true,true,true,true,true,true,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1120796,true,true,false,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100016,true,true,false,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1122381,false,true,false,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,low,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100009,true,true,false,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true. Surgical capability explicitly mentioned.
A1100003,true,true,false,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100057,false,true,false,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,low,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1117070,false,true,true,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true. Neurosurgery/neuro capability explicitly mentioned. Orthopedic capability explicitly mentioned. Surgical capability explicitly mentioned.
A1100012,true,true,false,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true. Surgical capability explicitly mentioned.
A1100008,true,true,true,true,true,true,true,true,true,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true. Surgical capability explicitly mentioned.
A1100163,false,true,false,false,true,true,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true. Surgical capability explicitly mentioned. Trauma capability explicitly mentioned.
A1100053,true,true,false,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100027,false,true,false,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100055,true,true,false,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100038,false,true,false,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,low,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100013,true,true,true,true,true,true,true,true,true,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true. Orthopedic capability explicitly mentioned.
A1100051,false,true,false,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100019,false,true,false,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100049,false,true,false,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
